,actual,predicted
55,14.2,14.71456179335844
97,15.8,15.833284929610862
38,20.1,18.862646946901073
255,22.5,19.27106473194488
259,25.1,21.565998143336667
228,8.9,9.514437682528177
121,10.5,10.643377052003535
106,4.0,3.4136532872623384
390,3.1,5.254150829409344
13,22.9,22.580989234187875
497,22.3,21.11047120037363
405,11.9,12.997304196484304
440,13.7,14.655834400527338
86,12.9,12.226984741405508
418,21.3,20.813585332727
466,10.4,10.156577179019703
83,12.0,10.58201905014634
366,11.7,11.758744439292716
371,14.2,13.503194207764055
373,11.4,10.471351792561727
170,18.8,19.151949500617
27,23.3,21.923828418941106
17,26.4,25.586694661451794
208,10.4,11.732920295252207
491,16.8,17.86603196971045
151,18.3,17.67708660742806
115,9.0,9.048352295991878
74,11.6,11.542743272228037
15,22.2,22.449559172841564
279,16.8,14.93515846445554
41,7.7,7.949226707279351
268,16.0,16.35799624496151
37,18.3,18.56783856205066
444,12.1,12.08973902922009
307,4.1,3.612332712956757
406,13.6,12.935249212750985
205,11.7,10.413535922783765
319,27.8,24.053029816528174
269,17.3,17.7077530699061
54,15.2,14.895722697982487
361,19.9,20.158536245500187
11,19.6,21.62385927297003
194,11.9,12.131121904521184
283,8.9,8.422320181661114
330,18.9,17.840888459737062
265,13.7,13.653890469677975
317,22.3,22.321201529317754
29,21.9,21.21468315266982
260,23.9,21.10087115142764
137,10.8,11.129358917819783
136,10.9,11.039541698261287
235,21.5,20.610311819490498
6,23.5,24.356352142480645
47,9.0,10.936862023999826
160,16.8,16.392250228818632
365,12.1,12.107661350737036
46,8.5,9.735893242893205
216,12.9,12.433130386268868
167,14.9,16.84054553589889
314,18.1,21.116899123468862
129,16.3,17.996527640966303
175,21.7,23.28457705101629
424,12.1,9.163057116943047
461,12.0,11.380749425225975
186,3.5,2.6939370068360446
295,10.4,8.740791626374074
61,5.3,4.274643497237971
237,20.6,20.445225335159098
345,13.7,13.0764838964649
350,15.6,15.960076476579488
207,11.5,10.469620218068666
377,11.7,11.51665149575927
318,22.7,23.072969985656133
460,12.0,11.438348737733575
293,8.9,7.9094212852928205
243,19.6,23.801136104049284
458,11.6,11.498761452068042
421,22.0,21.407199043758787
455,11.7,11.285636970788559
224,7.6,7.477682399289252
23,20.3,19.151778829612702
333,4.2,3.1162774703061196
193,11.9,11.69580335288002
411,12.3,14.420141945869236
266,13.3,13.533876931445644
335,3.7,3.422748297664093
376,12.5,11.90790479256211
393,17.3,17.516159099257454
384,4.1,3.977914193661782
403,11.1,11.947464885949628
