,actual,predicted
55,14.2,14.809247182959592
97,15.8,15.990937232958263
38,20.1,18.656139360582117
255,22.5,19.152844753903477
259,25.1,21.757707581568873
228,8.9,9.567582176608148
121,10.5,10.844723893399074
106,4.0,3.471337258471298
390,3.1,5.4371553123753955
13,22.9,22.466658080782732
497,22.3,20.924822707282992
405,11.9,12.827036315884913
440,13.7,14.892804186494647
86,12.9,12.389297502095587
418,21.3,20.643053831543163
466,10.4,10.52368734118274
83,12.0,11.105688858508948
366,11.7,11.983455453899989
371,14.2,13.250692104172838
373,11.4,10.57614935476438
170,18.8,19.402974981873115
27,23.3,22.035162255284305
17,26.4,25.56891985396535
208,10.4,11.888058260771707
491,16.8,18.121289616590108
151,18.3,17.506681419618786
115,9.0,8.966276496346795
74,11.6,11.550742505791412
15,22.2,22.47997308718766
279,16.8,15.15953885157618
41,7.7,8.052524135478343
268,16.0,16.24452464531934
37,18.3,18.60178021686069
444,12.1,12.168980328671909
307,4.1,3.7475932207162295
406,13.6,12.745038753861154
205,11.7,10.31181197598083
319,27.8,23.898357655926993
269,17.3,17.53963671844254
54,15.2,14.8640797047436
361,19.9,20.31426715155247
11,19.6,21.806027771530353
194,11.9,12.041349772683068
283,8.9,8.165126079886083
330,18.9,17.961221490526246
265,13.7,13.718275737709314
317,22.3,22.140519805759872
29,21.9,21.38562956266599
260,23.9,21.345724271458806
137,10.8,11.471972807554554
136,10.9,11.45174087509948
235,21.5,20.50885432156296
6,23.5,23.858287306404364
47,9.0,10.474719777360498
160,16.8,16.57241559859775
365,12.1,12.24410663728935
46,8.5,9.336704471630874
216,12.9,12.35910413717287
167,14.9,16.973408041564646
314,18.1,21.222760448001836
129,16.3,18.272671631970425
175,21.7,23.459052788358655
424,12.1,10.086266516821471
461,12.0,11.357888070090608
186,3.5,2.6715261184902808
295,10.4,8.51886317315519
61,5.3,4.091620994323893
237,20.6,20.499078986441035
345,13.7,13.05547559350793
350,15.6,15.961549785596828
207,11.5,10.453773170892518
377,11.7,11.730868444246045
318,22.7,22.966918420862772
460,12.0,11.669989958985456
293,8.9,7.624162899018399
243,19.6,23.77637568670011
458,11.6,11.527104868484228
421,22.0,21.191604315999875
455,11.7,11.316401383426165
224,7.6,7.399477453695857
23,20.3,19.012463251231566
333,4.2,3.161416402462226
193,11.9,11.508297228818355
411,12.3,14.560534282252263
266,13.3,13.65153427369988
335,3.7,3.7057702260588705
376,12.5,11.911402971063328
393,17.3,17.487832981811458
384,4.1,3.910581388478075
403,11.1,11.810076431477338
