,actual,predicted
55,14.2,15.389374815581482
97,15.8,17.835672700212456
38,20.1,18.01195713682575
255,22.5,17.32090648057392
259,25.1,17.914423723416842
228,8.9,14.798203316102423
121,10.5,15.63612571065497
106,4.0,7.916252274744385
390,3.1,8.439857283203448
13,22.9,15.904636147079504
497,22.3,17.18888939295833
405,11.9,16.62487994605155
440,13.7,16.82968617444546
86,12.9,16.200043747074574
418,21.3,16.499728427450012
466,10.4,15.492033256731753
83,12.0,17.318827497278434
366,11.7,15.169520877759128
371,14.2,12.421729929429604
373,11.4,13.99949428144902
170,18.8,18.593989153994933
27,23.3,17.70577777594705
17,26.4,16.164181738671278
208,10.4,17.216000772562484
491,16.8,15.436706934212886
151,18.3,15.334123941021929
115,9.0,14.690705162985909
74,11.6,12.174455104579474
15,22.2,15.845734827159182
279,16.8,15.400024600650006
41,7.7,7.938385691573353
268,16.0,13.943643142703522
37,18.3,17.83486344194538
444,12.1,12.604140512620535
307,4.1,4.743554307098389
406,13.6,16.633226640886114
205,11.7,17.227444313126835
319,27.8,13.457885614348603
269,17.3,14.128120488378634
54,15.2,15.610807012345873
361,19.9,15.87674674945776
11,19.6,15.759120228316213
194,11.9,7.6701060810396475
283,8.9,14.182765796799668
330,18.9,13.446053809913806
265,13.7,13.599152476031708
317,22.3,13.703430609762203
29,21.9,17.664085910657047
260,23.9,17.884147059272713
137,10.8,7.60350603354911
136,10.9,8.678701274556504
235,21.5,14.51553440926607
6,23.5,16.893050224573518
47,9.0,6.532912875703996
160,16.8,17.81197684755279
365,12.1,15.521911715906416
46,8.5,6.374646994503112
216,12.9,14.329198199355867
167,14.9,18.398510106428052
314,18.1,15.359372054283915
129,16.3,18.502266725194374
175,21.7,18.81740114766995
424,12.1,20.6190839389405
461,12.0,13.205930253739782
186,3.5,6.2145229827881066
295,10.4,14.676615770660497
61,5.3,7.014183489612889
237,20.6,14.447981910697646
345,13.7,15.749533710396108
350,15.6,17.100314878039352
207,11.5,17.216742417103077
377,11.7,14.07035409417535
318,22.7,13.344369437582166
460,12.0,13.931292812013087
293,8.9,14.118955904297598
243,19.6,18.106862385649254
458,11.6,14.282943792213503
421,22.0,17.15913826483048
455,11.7,16.2428293225778
224,7.6,14.694733219185956
23,20.3,15.980345374536554
333,4.2,7.8435103778608335
193,11.9,7.661437999193886
411,12.3,17.158887109248415
266,13.3,13.58056768078788
335,3.7,7.74957674832087
376,12.5,14.208305349308988
393,17.3,16.99917620673281
384,4.1,9.376124307852772
403,11.1,17.32570123802393
